job,machine,btw,perm,perm_idx,betweenness_mean,signature
1,0,0.14074074074074075,"(0, 3, 0)",18,0.09283950617283951,2+1
2,0,0.07851851851851852,"(0, 3, 0)",18,0.09283950617283951,2+1
2,1,0.1037037037037037,"(0, 3, 0)",18,0.09283950617283951,2+1
2,2,0.06518518518518518,"(0, 3, 0)",18,0.09283950617283951,2+1
0,0,0.07962962962962962,"(0, 3, 1)",19,0.08065843621399177,1+1+1
0,1,0.08518518518518518,"(0, 3, 1)",19,0.08065843621399177,1+1+1
0,2,0.05555555555555556,"(0, 3, 1)",19,0.08065843621399177,1+1+1
1,1,0.0962962962962963,"(0, 3, 1)",19,0.08065843621399177,1+1+1
1,2,0.07222222222222223,"(0, 3, 1)",19,0.08065843621399177,1+1+1
1,0,0.1037037037037037,"(0, 3, 1)",19,0.08065843621399177,1+1+1
2,0,0.07962962962962962,"(0, 3, 1)",19,0.08065843621399177,1+1+1
2,2,0.07962962962962962,"(0, 3, 1)",19,0.08065843621399177,1+1+1
2,1,0.07407407407407407,"(0, 3, 1)",19,0.08065843621399177,1+1+1
0,0,0.10925925925925926,"(0, 3, 2)",20,0.09218106995884773,1+1+1
0,1,0.10370370370370371,"(0, 3, 2)",20,0.09218106995884773,1+1+1
0,2,0.08148148148148147,"(0, 3, 2)",20,0.09218106995884773,1+1+1
1,1,0.08148148148148149,"(0, 3, 2)",20,0.09218106995884773,1+1+1
1,2,0.1037037037037037,"(0, 3, 2)",20,0.09218106995884773,1+1+1
1,0,0.10925925925925925,"(0, 3, 2)",20,0.09218106995884773,1+1+1
2,1,0.06481481481481481,"(0, 3, 2)",20,0.09218106995884773,1+1+1
2,0,0.11111111111111109,"(0, 3, 2)",20,0.09218106995884773,1+1+1
2,2,0.0648148148148148,"(0, 3, 2)",20,0.09218106995884773,1+1+1
0,0,0.14074074074074075,"(0, 3, 3)",21,0.0928395061728395,2+1
0,1,0.10370370370370367,"(0, 3, 3)",21,0.0928395061728395,2+1
0,2,0.0962962962962963,"(0, 3, 3)",21,0.0928395061728395,2+1
1,1,0.0651851851851852,"(0, 3, 3)",21,0.0928395061728395,2+1
1,2,0.10370370370370371,"(0, 3, 3)",21,0.0928395061728395,2+1
1,0,0.07851851851851852,"(0, 3, 3)",21,0.0928395061728395,2+1
2,1,0.06518518518518518,"(0, 3, 3)",21,0.0928395061728395,2+1
2,2,0.1037037037037037,"(0, 3, 3)",21,0.0928395061728395,2+1
2,0,0.07851851851851852,"(0, 3, 3)",21,0.0928395061728395,2+1
0,0,0.08518518518518518,"(0, 3, 4)",22,0.07901234567901234,1+1+1
0,1,0.06666666666666667,"(0, 3, 4)",22,0.07901234567901234,1+1+1
0,2,0.0851851851851852,"(0, 3, 4)",22,0.07901234567901234,1+1+1
1,1,0.08518518518518518,"(0, 3, 4)",22,0.07901234567901234,1+1+1
1,2,0.06666666666666667,"(0, 3, 4)",22,0.07901234567901234,1+1+1
1,0,0.0851851851851852,"(0, 3, 4)",22,0.07901234567901234,1+1+1
