job,machine,btw,perm,perm_idx,betweenness_mean
3,0,0.09424019607843138,"(0, 0, 1, 3)",27,0.06838235294117648
3,2,0.13284313725490196,"(0, 0, 1, 3)",27,0.06838235294117648
3,3,0.052573529411764706,"(0, 0, 1, 3)",27,0.06838235294117648
3,1,0.08933823529411763,"(0, 0, 1, 3)",27,0.06838235294117648
0,0,0.04534313725490196,"(0, 0, 1, 4)",28,0.0704656862745098
0,1,0.09828431372549018,"(0, 0, 1, 4)",28,0.0704656862745098
0,2,0.06715686274509805,"(0, 0, 1, 4)",28,0.0704656862745098
0,3,0.045588235294117645,"(0, 0, 1, 4)",28,0.0704656862745098
1,0,0.04534313725490196,"(0, 0, 1, 4)",28,0.0704656862745098
1,1,0.09828431372549017,"(0, 0, 1, 4)",28,0.0704656862745098
1,2,0.06715686274509804,"(0, 0, 1, 4)",28,0.0704656862745098
1,3,0.04558823529411764,"(0, 0, 1, 4)",28,0.0704656862745098
2,0,0.03553921568627451,"(0, 0, 1, 4)",28,0.0704656862745098
2,1,0.09607843137254903,"(0, 0, 1, 4)",28,0.0704656862745098
2,3,0.0758578431372549,"(0, 0, 1, 4)",28,0.0704656862745098
2,2,0.03125,"(0, 0, 1, 4)",28,0.0704656862745098
3,0,0.1017156862745098,"(0, 0, 1, 4)",28,0.0704656862745098
3,3,0.15245098039215685,"(0, 0, 1, 4)",28,0.0704656862745098
3,1,0.0795343137254902,"(0, 0, 1, 4)",28,0.0704656862745098
3,2,0.042279411764705885,"(0, 0, 1, 4)",28,0.0704656862745098
0,0,0.04669117647058823,"(0, 0, 1, 5)",29,0.06729473039215686
0,1,0.09816176470588234,"(0, 0, 1, 5)",29,0.06729473039215686
0,2,0.05808823529411765,"(0, 0, 1, 5)",29,0.06729473039215686
0,3,0.031372549019607836,"(0, 0, 1, 5)",29,0.06729473039215686
1,0,0.04669117647058823,"(0, 0, 1, 5)",29,0.06729473039215686
1,1,0.09816176470588234,"(0, 0, 1, 5)",29,0.06729473039215686
1,2,0.058088235294117656,"(0, 0, 1, 5)",29,0.06729473039215686
1,3,0.031372549019607836,"(0, 0, 1, 5)",29,0.06729473039215686
2,0,0.03786764705882353,"(0, 0, 1, 5)",29,0.06729473039215686
2,1,0.10379901960784312,"(0, 0, 1, 5)",29,0.06729473039215686
2,3,0.06519607843137254,"(0, 0, 1, 5)",29,0.06729473039215686
2,2,0.024509803921568624,"(0, 0, 1, 5)",29,0.06729473039215686
3,0,0.10686274509803921,"(0, 0, 1, 5)",29,0.06729473039215686
3,3,0.1412990196078431,"(0, 0, 1, 5)",29,0.06729473039215686
3,2,0.0471813725490196,"(0, 0, 1, 5)",29,0.06729473039215686
3,1,0.08137254901960785,"(0, 0, 1, 5)",29,0.06729473039215686
0,0,0.03302696078431371,"(0, 0, 1, 6)",30,0.07628676470588236
