paths,flatBoolVars,flatIntVars,flatBoolConstraints,flatIntConstraints,evaluatedHalfReifiedConstraints,method,flatTime,objective,objectiveBound,boolVariables,failures,propagations,solveTime,time,nSolutions,perm_idx,perm,status,timeout_ms
0,18,20,9,38,18,minimize,68.01899999999999,,13,20,0,306,13.098,101.0,4,133,"(3, 4, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.585,,13,17,0,352,9.174,104.0,4,134,"(3, 4, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,75.094,,13,10,0,100,20.002,107.0,2,135,"(3, 4, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.745,,13,17,0,318,7.542,102.0,4,136,"(3, 4, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.25699999999999,,14,9,1,99,9.356,99.0,2,137,"(3, 4, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.983,,13,21,0,329,14.955,101.0,4,138,"(3, 5, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.044,,14,17,1,264,21.805,97.0,2,139,"(3, 5, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.77600000000001,,13,19,0,316,15.093,103.0,3,140,"(3, 5, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.122,,14,12,2,275,17.665,101.0,3,141,"(3, 5, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.976,,14,11,1,287,20.426,211.0,3,142,"(3, 5, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.90400000000001,,14,14,1,252,19.091,103.0,2,143,"(3, 5, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.726,,13,13,0,107,7.541,108.0,3,144,"(4, 0, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,76.67599999999999,,13,13,0,317,14.741999999999999,115.0,4,145,"(4, 0, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.714,,14,18,2,302,8.205,102.0,2,146,"(4, 0, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,72.03099999999999,,12,18,0,136,10.379,104.0,3,147,"(4, 0, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.646,,13,13,0,204,21.5,103.0,2,148,"(4, 0, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,72.552,,13,14,1,257,10.738,109.0,3,149,"(4, 0, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,72.20100000000001,,13,9,0,69,27.217000000000002,111.0,3,150,"(4, 1, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.549,,14,16,1,359,32.529,105.0,3,151,"(4, 1, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.864,,13,17,0,309,13.97,110.0,4,152,"(4, 1, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.113,,13,17,2,252,18.89,100.0,2,153,"(4, 1, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.92,,14,17,1,356,12.461,219.0,3,154,"(4, 1, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.397,,13,16,1,253,35.606,215.0,3,155,"(4, 1, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.368,,14,15,2,326,9.772,101.0,3,156,"(4, 2, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.701,,13,14,0,185,12.827,102.0,3,157,"(4, 2, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.23400000000001,,14,9,1,91,16.587999999999997,98.0,2,158,"(4, 2, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.272,,13,16,1,234,7.5440000000000005,100.0,2,159,"(4, 2, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.444,,14,15,1,269,10.635,105.0,2,160,"(4, 2, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.94,,14,12,1,135,7.635000000000001,103.0,1,161,"(4, 2, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.51100000000001,,12,19,0,238,13.102,219.0,3,162,"(4, 3, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.37,,13,12,0,154,21.557,104.0,3,163,"(4, 3, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,73.33099999999999,,13,13,0,167,19.389,108.0,3,164,"(4, 3, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.261,,13,9,0,72,13.145,199.0,1,165,"(4, 3, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.10900000000001,,13,15,0,283,19.111,115.0,3,166,"(4, 3, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.81700000000001,,14,9,1,99,11.188,205.0,1,167,"(4, 3, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.118,,13,13,0,264,8.735,98.0,3,168,"(4, 4, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,72.80799999999999,,14,15,1,352,9.482000000000001,111.0,3,169,"(4, 4, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.579,,14,10,1,131,8.256,102.0,2,170,"(4, 4, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.974,,13,12,0,94,7.301,200.0,1,171,"(4, 4, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.452,,14,11,0,117,9.546000000000001,97.0,1,172,"(4, 4, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,75.193,,14,10,0,99,21.898999999999997,107.0,2,173,"(4, 4, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.177,,13,18,0,352,24.583000000000002,104.0,5,174,"(4, 5, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.331,,13,17,0,304,13.313,105.0,3,175,"(4, 5, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,81.679,,14,15,2,298,12.834,117.0,3,176,"(4, 5, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.69200000000001,,14,9,1,108,22.852999999999998,206.0,2,177,"(4, 5, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.477,,14,13,2,293,9.581,114.0,3,178,"(4, 5, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,74.37299999999999,,14,13,2,260,14.444,109.0,2,179,"(4, 5, 5)",OPTIMAL_SOLUTION,1641.0
