scope_type,scope_value,benchmark_family,jobs,machines,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
file,la06,la,15,5,continuous_exploratory,gamma,"[441.5831650707637, -500.30143783715494, 1.2534248283607425]",3,-351.79337899632134,709.5867579926427,716.5392223332516,KS_continuous,0.10430739762385022,0.3629593623587517
file,la06,la,15,5,continuous_exploratory,expon,"[7.0, 46.22666666666667]",2,-362.5167624111534,729.0335248223068,733.6685010493794,KS_continuous,0.20238050287346843,0.0036046553425860273
file,la07,la,15,5,discrete,discrete_uniform_minmax,"{""low"": 8, ""high"": 97}",2,-337.4857252747699,678.9714505495398,683.6064267766124,chi2_uniform_minmax_bins10,12.600000000000001,0.18155663198089633
file,la07,la,15,5,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-344.6339887600942,689.2679775201884,689.2679775201884,chi2_uniform_1_99_bins10,21.286666666666665,0.011436632192083712
file,la07,la,15,5,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_1_100_bins10,22.200000000000003,0.008266275900149146
file,la07,la,15,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_0_99_bins10,23.8,0.004628961012799771
file,la07,la,15,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-346.13403876309445,692.2680775261889,692.2680775261889,chi2_uniform_0_100_bins10,23.159757575757574,0.0058473212936730485
file,la07,la,15,5,discrete,poisson,"{""mu"": 49.93333333333333}",1,-601.4655594537185,1204.931118907437,1207.2486070209732,,,
file,la07,la,15,5,continuous_exploratory,uniform,"[8.0, 89.0]",2,-336.64772772991057,677.2954554598211,681.9304316868937,KS_continuous,0.13213483146067417,0.13306539311542365
file,la07,la,15,5,continuous_exploratory,weibull_min,"[2.429252403777575, 0.3037817215972515, 56.020008322193256]",3,-336.81103860503487,679.6220772100697,686.5745415506786,KS_continuous,0.0828418364620862,0.651312237114789
