instance_id,jobs,machines,complexity_0_1,category,s_iforest,s_lof,s_mahalanobis,s_knn,complexity_prior_0_1,blend_w_unsup,blend_w_prior,blend_w_sup
31-9-0.pt,31,9,0.04495265827247199,easy,0.1087231689099064,0.0729572834700748,0.0001394189953705636,0.00620470481759387,0.5038415063300224,0.7,0.3,0.0
32-10-0.pt,32,10,0.0482200613644793,easy,0.08623844721569379,0.07668873513270197,7.937687000728359e-05,0.0062283060659540455,0.5239967289585915,0.7,0.3,0.0
32-11-0.pt,32,11,0.06894201844872933,easy,0.08646662730516431,0.10565605842044105,2.9701471732045813e-05,0.008024273907027696,0.5385330734767926,0.7,0.3,0.0
32-12-0.pt,32,12,0.024482952394632846,easy,0.050430736991128954,0.015793489765757427,1.8590918135673713e-05,0.0074262486366402855,0.5527204563346786,0.7,0.3,0.0
32-13-0.pt,32,13,0.07193160887483735,easy,0.08527756253207698,0.07894570468541348,4.920087702889217e-06,0.008071765529895358,0.5650384799514648,0.7,0.3,0.0
32-14-0.pt,32,14,0.08039473349813851,easy,0.062088766608337946,0.1072438503720243,3.331839906683963e-06,0.007207258856735107,0.5773102849872926,0.7,0.3,0.0
32-15-0.pt,32,15,0.09488481033189405,medium,0.042999546271771924,0.1484186847086017,2.0506250278774903e-06,0.004366047343296637,0.5892812717304453,0.7,0.3,0.0
32-16-0.pt,32,16,0.07119044749514328,easy,0.0332916882715725,0.08498119181941281,2.0391047430897923e-06,0.0055147833570776085,0.6002950116185632,0.7,0.3,0.0
32-17-0.pt,32,17,0.10576255929647506,medium,0.03507500791926942,0.15199487563827735,2.20717712160126e-06,0.006516440413738866,0.6108292585049233,0.7,0.3,0.0
32-18-0.pt,32,18,0.11494858548298036,medium,0.04021721788276496,0.15617016885020285,1.8531799277579717e-06,0.005722275164658656,0.6211928416718496,0.7,0.3,0.0
32-19-0.pt,32,19,0.09340604911185421,medium,0.04803177768761276,0.08608557022824327,1.0577217308158582e-06,0.0025100793457762394,0.6312251106150664,0.7,0.3,0.0
32-2-0.pt,32,2,0.15454843486089886,medium,0.5387727773377793,0.06545154172218737,0.06871504294753521,0.023365150115035406,0.3206208537694836,0.7,0.3,0.0
32-20-0.pt,32,20,0.09259881027943734,medium,0.03156007571604829,0.08624276590581499,1.0830192278882602e-06,0.0044890486714144725,0.6405684360340704,0.7,0.3,0.0
32-21-0.pt,32,21,0.0927605332913667,medium,0.03405726848640013,0.07446178448269435,7.931584836077147e-07,0.0023147019120120377,0.6495120486376532,0.7,0.3,0.0
32-22-0.pt,32,22,0.11758113242544772,medium,0.02675715094188268,0.1302077107060156,1.2577850992811386e-06,0.0027131580874900007,0.6580307786306014,0.7,0.3,0.0
32-23-0.pt,32,23,0.11729488943834311,medium,0.03293390647945618,0.11289046927768517,6.401787325664868e-07,0.0018977071775750675,0.6665312627201504,0.7,0.3,0.0
32-24-0.pt,32,24,0.11746205369707124,medium,0.03696372044155284,0.09873738080486688,8.04918702498578e-07,0.0012857311443999556,0.6749389049116109,0.7,0.3,0.0
32-25-0.pt,32,25,0.10140284296815506,medium,0.032544192722962856,0.05289567610116156,9.124485307513505e-07,0.001963481917646082,0.6829972794839335,0.7,0.3,0.0
